state,intersection_density_km,streets_per_node_avg,circuity_avg,street_length_avg
AK,1.28,2.43,1.1,223.5
AL,9.7,2.64,1.07,190.81
AR,15.75,2.78,1.06,166.32
AZ,12.45,2.77,1.08,171.8
CA,32.58,2.74,1.07,143.79
CO,29.26,2.88,1.06,136.68
CT,28.05,2.7,1.07,165.87
DC,58.91,3.26,1.04,122.23
DE,25.3,2.8,1.06,127.8
FL,26.26,2.87,1.07,150.75
GA,15.25,2.78,1.07,177.5
HI,8.0,2.42,1.07,177.93
IA,24.08,3.02,1.04,129.36
ID,33.85,2.91,1.06,132.08
IL,29.02,2.93,1.05,137.77
IN,35.25,2.93,1.05,125.72
KS,43.94,3.14,1.04,124.39
KY,25.12,2.68,1.07,151.28
LA,17.14,2.79,1.06,162.62
MA,32.33,2.76,1.07,135.98
MD,28.67,2.79,1.07,133.69
ME,7.69,2.67,1.07,198.93
MI,20.93,2.9,1.05,153.5
MN,18.96,2.87,1.06,152.92
MO,29.87,2.89,1.06,138.29
MS,14.76,2.75,1.06,174.86
MT,38.94,3.11,1.04,126.89
NC,19.28,2.65,1.06,166.69
ND,34.28,3.07,1.04,123.93
NE,45.89,3.16,1.04,119.79
NH,12.22,2.69,1.1,175.88
NJ,44.98,2.88,1.04,130.79
NM,18.5,2.93,1.05,152.02
NV,13.86,2.77,1.07,147.35
NY,21.89,2.75,1.06,156.88
OH,25.23,2.8,1.05,142.08
OK,28.22,3.03,1.05,139.5
OR,35.08,2.69,1.06,121.18
PA,35.69,2.87,1.05,128.34
RI,56.23,2.86,1.05,110.35
SC,18.76,2.81,1.06,169.21
SD,32.01,3.12,1.04,130.75
TN,13.62,2.71,1.07,192.83
TX,23.85,2.92,1.05,160.44
UT,12.58,2.71,1.06,191.04
VA,25.18,2.63,1.08,145.65
VT,18.91,2.55,1.08,145.18
WA,28.71,2.75,1.06,134.02
WI,17.87,2.81,1.06,156.19
WV,28.45,2.67,1.08,136.57
WY,23.48,2.92,1.06,143.63
